Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Santiago, Carmen/Santa Victoria - 2 Dormitorios",400000,90000,Santiago,Carmen/Santa Victoria - 2 Dormitorios,60,2,2
"Providencia, Se arrienda depto 4d3b en providencia (122773)",1000,90000,Providencia,Se arrienda depto 4d3b en providencia (122773),80,4,3
"Santiago, Diagonal paraguay 24",280000,130000,Santiago,Diagonal paraguay 24,35,1,1
"Ñuñoa, Plaza Ñuñoa / Amoblado",680000,140000,Ñuñoa,Plaza Ñuñoa / Amoblado,53,2,2
"Ñuñoa, Bustamante / Mujica / Metro Irarrázaval",420000,80000,Ñuñoa,Bustamante / Mujica / Metro Irarrázaval,39,1,1
"Peñalolén, Acogedor y luminoso y moderno depto 3 d 2 b (122787)",630000,100000,Peñalolén,Acogedor y luminoso y moderno depto 3 d 2 b (122787),68,3,2
"Las Condes, Dpto. Amoblado,Agusto Leguia, Metro el Golf",950000,110000,Las Condes,"Dpto. Amoblado,Agusto Leguia, Metro el Golf",60,2,2
"Ñuñoa, Francisco Meneses/ Guillermo Mann",420000,99000,Ñuñoa,Francisco Meneses/ Guillermo Mann,47,1,1
"Santiago, Plaza Brasil",450000,104000,Santiago,Plaza Brasil,51,1,1
"Ñuñoa, Arriendo dpto ñuñoa (115670)",1000,180000,Ñuñoa,Arriendo dpto ñuñoa (115670),80,3,2
"Estación Central, Ecuador / Con Con, Estación Central",300000,120000,Estación Central,"Ecuador / Con Con, Estación Central",57,2,2
"Ñuñoa, Cercano a metro irarrazaval",450000,50000,Ñuñoa,Cercano a metro irarrazaval,38,1,1
"Independencia, Manco Capac",280000,30,Independencia,Manco Capac,45,2,1
"Santiago, Maipú 763",400000,69998,Santiago,Maipú 763,50,3,2
"Santiago, Cercano a metro santa ana",380000,125000,Santiago,Cercano a metro santa ana,39,2,1
"Santiago, Fray Camilo Henríquez 320",320000,95000,Santiago,Fray Camilo Henríquez 320,38,1,1
"San Miguel, Novena Avenida",350000,45000,San Miguel,Novena Avenida,40,1,1
"Ñuñoa, Amoblado 3 dorm+2 baños + est metro irarrazaval",1050,70000,Ñuñoa,Amoblado 3 dorm+2 baños + est metro irarrazaval,82,3,2
"Santiago, Parque almagro, av. Santa isabel, santa rosa",400000,90000,Santiago,"Parque almagro, av. Santa isabel, santa rosa",49,2,1
"Estación Central, Las Acacias 115",500000,25000,Estación Central,Las Acacias 115,110,3,2
"Santiago, Avenida Manuel Rodríguez Sur 540",450000,100000,Santiago,Avenida Manuel Rodríguez Sur 540,50,2,2
"La Cisterna, Amoblado dpto de 1 y 2 dormitorios en Lo Oval (122511)",340000,45000,La Cisterna,Amoblado dpto de 1 y 2 dormitorios en Lo Oval (122511),25,1,1
"Providencia, Metro Tobalaba, 2 Dormitorios (122485)",560000,130000,Providencia,"Metro Tobalaba, 2 Dormitorios (122485)",56,2,1
"Santiago, 1 dormitorio (122521)",280000,40000,Santiago,1 dormitorio (122521),26,1,1
"Santiago, 2 dormitorios (122505)",350000,120000,Santiago,2 dormitorios (122505),40,2,1
"Estación Central, Abtao 24",190000,70000,Estación Central,Abtao 24,32,1,1
"Estación Central, Metro ecuador",290000,67000,Estación Central,Metro ecuador,34,1,1
"La Cisterna, Metro la cisterna",350000,45000,La Cisterna,Metro la cisterna,48,2,1
"La Florida, Llanquihue",360000,80000,La Florida,Llanquihue,41,1,1
"Santiago, eleuterio ramirez con nataniel cox",548000,150000,Santiago,eleuterio ramirez con nataniel cox,53,2,2
"Santiago, ñuble / vicuña mackena",380000,60000,Santiago,ñuble / vicuña mackena,39,2,1
"San Miguel, Metro El Llano moderno, vista despejada (101149)",530000,130000,San Miguel,"Metro El Llano moderno, vista despejada (101149)",55,2,2
"Quilicura, Disponibilidad de noviembre",400000,2000,Quilicura,Disponibilidad de noviembre,52,2,1
"San Miguel, Depto. En arriendo  (122630)",490000,90000,San Miguel,Depto. En arriendo  (122630),58,3,2
"Las Condes, Departamento Luminoso Hernando de Magallanes (74161)",630000,130000,Las Condes,Departamento Luminoso Hernando de Magallanes (74161),52,1,1
"Ñuñoa, Departamento en arriendo Ñuñoa 50 mt2 1D,1B (122537)",600000,100000,Ñuñoa,"Departamento en arriendo Ñuñoa 50 mt2 1D,1B (122537)",50,1,1
"Santiago, Blanco Encalada 2501, Club Hipico",490000,120000,Santiago,"Blanco Encalada 2501, Club Hipico",58,2,2
"Ñuñoa, Arriendo luminoso depto 2d+2b+2 estac. ñuñoa (122562)",1000,230000,Ñuñoa,Arriendo luminoso depto 2d+2b+2 estac. ñuñoa (122562),75,2,2
"Estación Central, Av padre hurtado 59",420000,89000,Estación Central,Av padre hurtado 59,48,2,2
"La Florida, Walker Martínez/Av La Florida",490000,90000,La Florida,Walker Martínez/Av La Florida,60,3,2
"San Miguel, Arriendo Moderno 1D / 1B + Estacionamiento (122566)",370000,80000,San Miguel,Arriendo Moderno 1D / 1B + Estacionamiento (122566),30,1,1
"La Florida, Se arrienda amplio depto en un hermoso condominio/la florida",500000,90000,La Florida,Se arrienda amplio depto en un hermoso condominio/la florida,64,3,2
"San Miguel, Se arrienda lindo departamento en metro franklin / el llano",315000,45000,San Miguel,Se arrienda lindo departamento en metro franklin / el llano,36,1,1
"Ñuñoa, Exequiel Fernández",550000,135000,Ñuñoa,Exequiel Fernández,43,1,1
"Ñuñoa, san eugenio 1085",580000,95000,Ñuñoa,san eugenio 1085,58,2,2
"Las Condes, Barrio el golf - amplio departamento  (122570)",1500,500000,Las Condes,Barrio el golf - amplio departamento  (122570),146,4,3
"Santiago, Se arrienda departamento en santiago nuevo! (122595)",350000,50000,Santiago,Se arrienda departamento en santiago nuevo! (122595),35,1,1
"Santiago, Depto 1D1B + Estac en Promoción M República (122549)",340000,70000,Santiago,Depto 1D1B + Estac en Promoción M República (122549),35,1,1
"Estación Central, Ecuador #457l",570000,90000,Estación Central,Ecuador #457l,61,2,2
"Macul, Departamento en Macul (1D+1B) (122575)",320000,60000,Macul,Departamento en Macul (1D+1B) (122575),40,1,1
"Quilicura, Departamento en arriendo (61334)",430000,70000,Quilicura,Departamento en arriendo (61334),49,2,1
"Santiago, A 650 m., metro repúlbica",320000,85000,Santiago,"A 650 m., metro repúlbica",43,1,1
"Santiago, Arturo Prat 602",450000,130000,Santiago,Arturo Prat 602,52,2,2
"Providencia, Av. Holanada 2354",900000,160000,Providencia,Av. Holanada 2354,80,2,2
"Santiago, Santo Domingo & Amunátegui",280000,60000,Santiago,Santo Domingo & Amunátegui,30,1,1
"Santiago, Eleuterio Ramírez 1070",370000,70000,Santiago,Eleuterio Ramírez 1070,35,1,1
"Santiago, Echaurren 361",350000,45000,Santiago,Echaurren 361,45,1,1
"Santiago, San Diego 255",300000,50000,Santiago,San Diego 255,33,1,1
"Santiago, Argomedo 65",450000,70000,Santiago,Argomedo 65,44,1,1
"Estación Central, Condominio arcadia cuadro verde 150 est. Central",570000,120000,Estación Central,Condominio arcadia cuadro verde 150 est. Central,76,3,2
"San Miguel, Tercera Transversal / Metro Ciudad del Niño",430000,110000,San Miguel,Tercera Transversal / Metro Ciudad del Niño,57,2,2
"Santiago, Vicuña Mackenna / Santa Elvira",320000,45000,Santiago,Vicuña Mackenna / Santa Elvira,31,1,1
"Providencia, Depto suecia 2d 2b 1bodega (122370)",590000,145000,Providencia,Depto suecia 2d 2b 1bodega (122370),40,2,2
"Las Condes, Vista Oriente 2D+2B, Estac/Bodega (122106)",1200,250000,Las Condes,"Vista Oriente 2D+2B, Estac/Bodega (122106)",80,2,2
"Peñalolén, San Luis de Macul 4355",750000,79999,Peñalolén,San Luis de Macul 4355,60,2,2
"Santiago, San diego/ e.Ramírez -  metro p.Almagro",290000,50000,Santiago,San diego/ e.Ramírez -  metro p.Almagro,30,1,1
"Santiago, Blanco encalada con autopista central",320000,70000,Santiago,Blanco encalada con autopista central,38,1,1
"Santiago, Santa Victoria 360",290000,75000,Santiago,Santa Victoria 360,33,1,1
"Santiago, Carmen 418",290000,84000,Santiago,Carmen 418,33,1,1
"Macul, Servicio de registro civil oficina Macul",450000,75000,Macul,Servicio de registro civil oficina Macul,50,2,1
"Quilicura, Avenida lo Cruzat 525",450000,50000,Quilicura,Avenida lo Cruzat 525,59,2,1
"Recoleta, Santos Dumont 70",450000,80000,Recoleta,Santos Dumont 70,50,2,1
"Santiago, Manuel Rodriguez 881, Santiago",240000,70000,Santiago,"Manuel Rodriguez 881, Santiago",40,1,1
"La Florida, Promocion en La Florida (122322)",282000,70000,La Florida,Promocion en La Florida (122322),38,1,1
"Recoleta, Santos Dumont 70",450000,80000,Recoleta,Santos Dumont 70,50,2,1
"Santiago, Se arrienda Departamento 1D 1B Santiago (122357)",320000,60000,Santiago,Se arrienda Departamento 1D 1B Santiago (122357),34,1,1
"La Florida, Moderno departamento | Disponibilidad inmediata .",400000,130000,La Florida,Moderno departamento | Disponibilidad inmediata .,52,2,1
"Santiago, Av. España 397",370000,70000,Santiago,Av. España 397,48,2,2
"Estación Central, Arriendo 2h 1b  Toro Mazote (122384)",369000,68000,Estación Central,Arriendo 2h 1b  Toro Mazote (122384),50,2,1
"Santiago, San Isidro - Marin  (122278)",320000,85000,Santiago,San Isidro - Marin  (122278),39,1,1
"Providencia, Miguel Claro - Bilbao (122263)",900000,250000,Providencia,Miguel Claro - Bilbao (122263),74,3,2
"Ñuñoa, Rodrigo de Araya 1410",570000,120000,Ñuñoa,Rodrigo de Araya 1410,72,2,2
"Puente Alto, Av los toros 05226",450000,77000,Puente Alto,Av los toros 05226,66,3,1
"Santiago, Lord cochrane 209",400000,82000,Santiago,Lord cochrane 209,42,2,1
"Santiago, Padre migue olivares 1405",400000,70000,Santiago,Padre migue olivares 1405,51,1,1
"Providencia, Hindemburg con salvador",825000,190000,Providencia,Hindemburg con salvador,73,3,2
"La Florida, Vicuña Mackenna 6689",600000,120000,La Florida,Vicuña Mackenna 6689,65,2,2
"La Cisterna, Epto en la cisterna a pasos de metro lo ovall (122321)",340000,70000,La Cisterna,Epto en la cisterna a pasos de metro lo ovall (122321),39,2,1
"La Cisterna, Se arrienda depto en la cisterna 1d,1b a pas (122314)",270000,45000,La Cisterna,"Se arrienda depto en la cisterna 1d,1b a pas (122314)",27,1,1
"Santiago, Departamento, San Pablo, Teatinos. 2D+2B+E+B (122428)",530000,130000,Santiago,"Departamento, San Pablo, Teatinos. 2D+2B+E+B (122428)",71,2,2
"San Miguel, Av. Centenario 1000",400000,55000,San Miguel,Av. Centenario 1000,47,2,1
"Santiago, Depto mariposa barrio lastarria (38033)",500000,100000,Santiago,Depto mariposa barrio lastarria (38033),52,2,2
"Santiago, Departamento de 2 dormitorios tipo mariposa (122414)",480000,80000,Santiago,Departamento de 2 dormitorios tipo mariposa (122414),47,2,2
"Santiago, Santo Domingo - Teatinos - Amunategui",370000,95000,Santiago,Santo Domingo - Teatinos - Amunategui,53,1,1
"La Florida, Departamento en Arriendo en Lo Cañas - Alto  (21084)",650000,60000,La Florida,Departamento en Arriendo en Lo Cañas - Alto  (21084),55,1,1
"Santiago, Home studio metro irarrázaval (102254)",250000,35000,Santiago,Home studio metro irarrázaval (102254),30,1,1
"Las Condes, metro escuela militar/unimarc",600000,60000,Las Condes,metro escuela militar/unimarc,35,1,1
"Santiago, Av. Vicuña Mackenna 1751",320000,62000,Santiago,Av. Vicuña Mackenna 1751,32,1,1
"Providencia, Avenida Ricardo Lyon & Carlos Antúnez",700000,120000,Providencia,Avenida Ricardo Lyon & Carlos Antúnez,46,1,1
"La Cisterna, Santa Elisa 460",330000,45000,La Cisterna,Santa Elisa 460,36,1,1
"La Florida, Vicuña mackenna 115400",550000,65000,La Florida,Vicuña mackenna 115400,80,3,2
"Santiago, Argomedo 320",310000,60000,Santiago,Argomedo 320,37,1,1
"Santiago, Tarapacá esq serrano",520000,155000,Santiago,Tarapacá esq serrano,63,3,2
"Macul, Departamento en arriendo en quilin (42693)",510000,140000,Macul,Departamento en arriendo en quilin (42693),55,2,2
"La Cisterna, Esmeralda",350000,75000,La Cisterna,Esmeralda,50,3,1
"Santiago, Departamento chiloé 1295",250000,62000,Santiago,Departamento chiloé 1295,30,1,1
"La Cisterna, Lo ovalle",390000,55000,La Cisterna,Lo ovalle,55,2,1
"San Miguel, Metro San Miguel",400000,70000,San Miguel,Metro San Miguel,52,2,1
"Santiago, Estudio economico Metro ULA (122200)",230000,65000,Santiago,Estudio economico Metro ULA (122200),27,1,1
"La Florida, Se arrienda dp amoblado nuevo! 2d+2b+e, mirador, la florida",560000,85000,La Florida,"Se arrienda dp amoblado nuevo! 2d+2b+e, mirador, la florida",68,2,2
"Santiago, Se arriendan dp 2d+1b+ opción e, bellas artes, santiago",65000,100000,Santiago,"Se arriendan dp 2d+1b+ opción e, bellas artes, santiago",50,2,1
"Santiago, Arriendo dp equipado 1d+1b opción e, bellas artes, santiago",50000,100000,Santiago,"Arriendo dp equipado 1d+1b opción e, bellas artes, santiago",38,1,1
"San Joaquín, Promoción en arriendo depto. 2d+2b metro carlos valdovinos",420000,80000,San Joaquín,Promoción en arriendo depto. 2d+2b metro carlos valdovinos,61,2,2
"San Miguel, Se arrienda depto 1 dormitorio amoblado en san miguel",330000,65000,San Miguel,Se arrienda depto 1 dormitorio amoblado en san miguel,34,1,1
"Santiago, Paga primer mes 50% off dpto 2d+2b parque los reyes santiago",410000,125000,Santiago,Paga primer mes 50% off dpto 2d+2b parque los reyes santiago,53,2,2
"San Joaquín, Vicuña Mackenna 3737",450000,110000,San Joaquín,Vicuña Mackenna 3737,49,2,2
"Ñuñoa, Zañartu con V. Mackenna 1D 1B",400000,120000,Ñuñoa,Zañartu con V. Mackenna 1D 1B,40,1,1
"Independencia, Arriendo departamento en Independencia (122237)",350000,90000,Independencia,Arriendo departamento en Independencia (122237),43,2,1
"Ñuñoa, Amplio deparatmento 1 dormitorio",550000,70000,Ñuñoa,Amplio deparatmento 1 dormitorio,40,1,1
"Santiago, Arrienda departamento 1d+1b+est+bod a pasos metro moneda",280000,65000,Santiago,Arrienda departamento 1d+1b+est+bod a pasos metro moneda,30,1,1
"La Cisterna, Fernandez albano con gran avenida",540000,120000,La Cisterna,Fernandez albano con gran avenida,65,3,2
"Providencia, -",850000,190000,Providencia,-,735,2,2
"Ñuñoa, Zañartu",600000,80000,Ñuñoa,Zañartu,51,2,1
"La Florida, Froilan roa",395000,50000,La Florida,Froilan roa,34,1,1
"San Miguel, Metro san miguel",430000,80000,San Miguel,Metro san miguel,48,2,2
"San Miguel, Metro el llano",549000,120000,San Miguel,Metro el llano,55,2,2
"Santiago, Metro santa ana",300000,80000,Santiago,Metro santa ana,35,1,1
"Santiago, Se Arrienda Dpto 2d y 1b (122153)",415000,98000,Santiago,Se Arrienda Dpto 2d y 1b (122153),50,2,1
"Macul, Arriendo dpto av. Macul 2320, 2d 2b",500000,65000,Macul,"Arriendo dpto av. Macul 2320, 2d 2b",57,2,2
"Providencia, Ricardo lyon",1800,250000,Providencia,Ricardo lyon,200,4,3
"La Cisterna, Av. Lo ovalle 0854",350000,60000,La Cisterna,Av. Lo ovalle 0854,45,3,1
"San Miguel, Depto san miguel (122183)",400000,150000,San Miguel,Depto san miguel (122183),55,2,2
"Santiago, Sin aval!! 1 dorm 1 baño 1 bodega",350000,100000,Santiago,Sin aval!! 1 dorm 1 baño 1 bodega,38,1,1
"Estación Central, Coronel Godoy 149",390000,70000,Estación Central,Coronel Godoy 149,50,2,1
"Santiago, Nataniel Cox 599",495000,150000,Santiago,Nataniel Cox 599,47,2,1
"Estación Central, Av. Alameda Libertador Bernardo O'Higgins 4103",230000,70000,Estación Central,Av. Alameda Libertador Bernardo O'Higgins 4103,35,1,1
"Santiago, Manuel Antonio Tocornal 455",380000,65000,Santiago,Manuel Antonio Tocornal 455,45,2,1
"San Miguel, Alcalde Pedro Alarcón - Excelente (90044)",300000,65000,San Miguel,Alcalde Pedro Alarcón - Excelente (90044),34,1,1
"Ñuñoa, Plaza zañartu, av. Pedro de valdivia y rodrigo de araya",650000,105000,Ñuñoa,"Plaza zañartu, av. Pedro de valdivia y rodrigo de araya",61,2,2
"La Florida, Depa andres",700000,140000,La Florida,Depa andres,76,3,2
"Santiago, Tu nuevo hogar te espera en Santiago (122030)",399999,90000,Santiago,Tu nuevo hogar te espera en Santiago (122030),50,2,2
"Santiago, San pablo 1433",380000,85000,Santiago,San pablo 1433,52,2,2
"San Miguel, San Ignacio 4850",380000,80000,San Miguel,San Ignacio 4850,55,2,1
"Santiago, Vila gestion arrienda (122021)",450000,180000,Santiago,Vila gestion arrienda (122021),54,2,2
"Ñuñoa, Capitan Orella 2575",500000,80000,Ñuñoa,Capitan Orella 2575,37,1,1
"San Miguel, Novena avenida 1316",520000,95000,San Miguel,Novena avenida 1316,54,2,2
"La Cisterna, A una cuadra de gran avenida",380000,80000,La Cisterna,A una cuadra de gran avenida,40,1,1
"La Florida, Av. Vicuña Mackenna Poniente con Millaray",360000,70000,La Florida,Av. Vicuña Mackenna Poniente con Millaray,36,1,1
"Ñuñoa, Zañartu 980",550000,70000,Ñuñoa,Zañartu 980,60,2,2
"Ñuñoa, Seminario 1499 ñuñoa",450000,80000,Ñuñoa,Seminario 1499 ñuñoa,39,1,1
"La Florida, Avenida Vicuña Mackenna 6633",380000,60000,La Florida,Avenida Vicuña Mackenna 6633,36,1,1
"Santiago, Portugal 811",490000,80000,Santiago,Portugal 811,60,3,2
"Las Condes, Martín de Zamora 3621",580000,118000,Las Condes,Martín de Zamora 3621,31,1,1
"Santiago, MA - Bandera 898, Metro Cal y Canto",280000,60000,Santiago,"MA - Bandera 898, Metro Cal y Canto",35,1,1
"Santiago, Av. Brasil 875",450000,100000,Santiago,Av. Brasil 875,55,2,2
"Santiago, Argomedo",390000,89999,Santiago,Argomedo,47,2,1
"Quinta Normal, Cruchaga Montt 760",450000,50000,Quinta Normal,Cruchaga Montt 760,58,3,1
"La Florida, Hermoso departamento amoblado a pasos del metro",330000,70000,La Florida,Hermoso departamento amoblado a pasos del metro,36,1,1
"Vitacura, Amplio departamento con gran conectividad en las condes",1000,100000,Vitacura,Amplio departamento con gran conectividad en las condes,80,2,1
"Santiago, San Isidro 154",300000,60000,Santiago,San Isidro 154,30,1,1
"Independencia, Maruri 639, independencia",320000,45000,Independencia,"Maruri 639, independencia",36,1,1
"Independencia, Gamero 1735",430000,70000,Independencia,Gamero 1735,50,3,1
"Ñuñoa, Los tres antonios, ñuñoa",600000,80000,Ñuñoa,"Los tres antonios, ñuñoa",65,2,2
"Independencia, Coronel alvarado 2505, independencia",390000,65000,Independencia,"Coronel alvarado 2505, independencia",65,2,2
"Maipú, Aprovecha, 3 meses rebajado (121504)",590000,80000,Maipú,"Aprovecha, 3 meses rebajado (121504)",67,3,2
"Santiago, Manuel Antonio matta 52 santaigo",439000,439000,Santiago,Manuel Antonio matta 52 santaigo,40,1,1
"Ñuñoa, José Pedro Alessandri /José Domingo Cañas",630000,100000,Ñuñoa,José Pedro Alessandri /José Domingo Cañas,66,2,1
"Santiago, Se Arrienda 2D, 1B, 1Bod – Gorbea (121772)",380000,120000,Santiago,"Se Arrienda 2D, 1B, 1Bod – Gorbea (121772)",47,2,1
"Ñuñoa, Amplio departamento en Plaza Ñuñoa (121771)",870000,300000,Ñuñoa,Amplio departamento en Plaza Ñuñoa (121771),90,3,3
"La Reina, Loreley 1736",650000,100000,La Reina,Loreley 1736,50,1,1
"Santiago, Se arrienda moderno dpto 1d1b, est, bodega (121796)",230000,58000,Santiago,"Se arrienda moderno dpto 1d1b, est, bodega (121796)",29,1,1
"La Florida, Av La Florida 10177",500000,95000,La Florida,Av La Florida 10177,65,2,2
"Las Condes, Parque Arauco",1450,260000,Las Condes,Parque Arauco,112,3,3
"San Joaquín, Estación rodrigo de araya",400000,78000,San Joaquín,Estación rodrigo de araya,48,2,1
"Macul, Departamento en arriendo – macul (121688)",600000,140000,Macul,Departamento en arriendo – macul (121688),68,2,2
"Ñuñoa, Metro Ñuñoa",600000,130000,Ñuñoa,Metro Ñuñoa,70,2,2
"La Reina, Metro principe de gales, ossa, tobalaba",870000,150000,La Reina,"Metro principe de gales, ossa, tobalaba",78,2,2
"San Miguel, Gran Avenida (121726)",440000,75000,San Miguel,Gran Avenida (121726),52,2,1
"La Florida, Lago pirihueico 6502",470000,100000,La Florida,Lago pirihueico 6502,55,2,2
"Santiago, Departamento remodelado (121682)",350000,50000,Santiago,Departamento remodelado (121682),35,2,1
"La Cisterna, Fernandez albano",400000,80000,La Cisterna,Fernandez albano,52,2,2
"Santiago, Promoción Arriendo 1D1B + Bod M República (121712)",280000,60000,Santiago,Promoción Arriendo 1D1B + Bod M República (121712),35,1,1
"Santiago, Dieciocho - 10 de Julio - Metro Toesca (121904)",395000,85000,Santiago,Dieciocho - 10 de Julio - Metro Toesca (121904),48,2,2
"Estación Central, Arrienda, Dpto. 2D, 2B, cercano metro Ecuador (121765)",450000,95000,Estación Central,"Arrienda, Dpto. 2D, 2B, cercano metro Ecuador (121765)",52,2,2
"Santiago, 1D1B categoría Hotel Garantía en Cuotas (121926)",350000,91000,Santiago,1D1B categoría Hotel Garantía en Cuotas (121926),34,1,1
"Las Condes, Vaticano /Flandes",890000,150000,Las Condes,Vaticano /Flandes,78,2,2
"Las Condes, Las Torcazas - Apoquindo",825000,200000,Las Condes,Las Torcazas - Apoquindo,46,1,1
"San Miguel, Alcalde Pedro de Alarcón, San Miguel",580000,145000,San Miguel,"Alcalde Pedro de Alarcón, San Miguel",70,3,2
"Santiago, Gral. Mackenna 1138",350000,75000,Santiago,Gral. Mackenna 1138,35,1,1
"Santiago, Dpto 1d + 1b + bod - homestudio metro toesca",315000,60000,Santiago,Dpto 1d + 1b + bod - homestudio metro toesca,22,1,1
"Independencia, Dpto 3d + 1b - anibal pinto independencia",370000,62000,Independencia,Dpto 3d + 1b - anibal pinto independencia,55,3,1
"Recoleta, Dpto 2d + 1b + est - a pasos de metro cerro blanco recoleta",460000,148000,Recoleta,Dpto 2d + 1b + est - a pasos de metro cerro blanco recoleta,53,2,1
"Independencia, Dpto 2d + 2b + est - hipodromo chile independencia",450000,100000,Independencia,Dpto 2d + 2b + est - hipodromo chile independencia,64,2,2
"Santiago, Dpto 2d + 2b - santa isabel 747 metro parque almagro",410000,88000,Santiago,Dpto 2d + 2b - santa isabel 747 metro parque almagro,53,2,2
"La Florida, Dpto 2d + 2b + est y bod - gerónimo de alderete 1800",530000,80000,La Florida,Dpto 2d + 2b + est y bod - gerónimo de alderete 1800,59,2,2
"La Florida, 1D1B a pasos del metro vicente valdés (121476)",350000,75000,La Florida,1D1B a pasos del metro vicente valdés (121476),36,1,1
"Ñuñoa, Departamento en ñuñoa, 1d-1b bodega, azotea privada",480000,79000,Ñuñoa,"Departamento en ñuñoa, 1d-1b bodega, azotea privada",38,1,1
"Macul, Metro Camino Agrícola",390000,72000,Macul,Metro Camino Agrícola,42,1,1
"Ñuñoa, Miguel leon prado / ñuñoa",350000,70000,Ñuñoa,Miguel leon prado / ñuñoa,33,1,1
"La Florida, Metro Vicuña Mackenna",390000,75000,La Florida,Metro Vicuña Mackenna,42,1,1
"Independencia, Maruri 639, independencia",320000,45000,Independencia,"Maruri 639, independencia",36,1,1
"Providencia, Luis Thayer Ojeda / Carlos Antunez",920000,300000,Providencia,Luis Thayer Ojeda / Carlos Antunez,70,2,2
"Macul, Dpto 2D, cocina separada - Froilan Roa (121472)",400000,55000,Macul,"Dpto 2D, cocina separada - Froilan Roa (121472)",53,2,1
"Santiago, Av. Vicuña Mackenna / Metro Ñuble",330000,70000,Santiago,Av. Vicuña Mackenna / Metro Ñuble,34,1,1
"Santiago, carmen 566",450000,100000,Santiago,carmen 566,50,2,2
"Santiago, Sargento Aldea, Zenteno, Santiago",250000,70000,Santiago,"Sargento Aldea, Zenteno, Santiago",28,1,1
"Ñuñoa, Pucará, Hamburgo",730000,120000,Ñuñoa,"Pucará, Hamburgo",60,2,2
"Santiago, tarapaca 1331",250000,60000,Santiago,tarapaca 1331,32,1,1
"Las Condes, Martin de Zamora 3443",1650,535000,Las Condes,Martin de Zamora 3443,186,4,4
"Ñuñoa, Guillermo Mann Depto Nuevo (121465)",400000,70000,Ñuñoa,Guillermo Mann Depto Nuevo (121465),39,1,1
"Santiago, Ñuble Nuevo Proyecto (121461)",330000,60000,Santiago,Ñuble Nuevo Proyecto (121461),33,1,1
"Las Condes, Av. Presidente sebastián piñera e. 440, las condes",1400,220000,Las Condes,"Av. Presidente sebastián piñera e. 440, las condes",100,2,2
"Santiago, 1d 1b. Metro santa lucía",310000,65000,Santiago,1d 1b. Metro santa lucía,37,1,1
"Santiago, Arriendo departamento 2d+1b cercano metro santa isabel",310000,92000,Santiago,Arriendo departamento 2d+1b cercano metro santa isabel,45,2,1
"Santiago, Arrienda departamento 1d+1b a pasos metro univ. De chile",210000,65000,Santiago,Arrienda departamento 1d+1b a pasos metro univ. De chile,30,1,1
"Independencia, Independencia (121422)",320000,65000,Independencia,Independencia (121422),48,2,1
"Macul, Departamento en condominio (121592)",350000,190000,Macul,Departamento en condominio (121592),60,2,1
"Macul, Arriendo depto macul 1d+1b+0est+1bod 32m2 mt macul",330000,40000,Macul,Arriendo depto macul 1d+1b+0est+1bod 32m2 mt macul,32,1,1
"La Cisterna, Metro la cisterna y metro el bosque",380000,100000,La Cisterna,Metro la cisterna y metro el bosque,45,2,1
"La Cisterna, Metro la cisterna y metro el bosque",280000,100000,La Cisterna,Metro la cisterna y metro el bosque,35,1,1
"La Florida, Se arriendo departamento seminuevo La Florida (121607)",350000,80000,La Florida,Se arriendo departamento seminuevo La Florida (121607),28,1,1
"Pudahuel, Lomas de lo aguirre",580000,10000,Pudahuel,Lomas de lo aguirre,52,2,2
"Estación Central, Impecable, Un Dormitorio, Piso 21 al Oriente (121551)",240000,47000,Estación Central,"Impecable, Un Dormitorio, Piso 21 al Oriente (121551)",30,1,1
"Providencia, Av. Nueva providencia / metro manuel montt",900000,210000,Providencia,Av. Nueva providencia / metro manuel montt,58,2,2
"Independencia, Arriendo de 3 dormitorios (121549)",300000,85000,Independencia,Arriendo de 3 dormitorios (121549),51,3,1
"Santiago, Matucana 1251",280000,55000,Santiago,Matucana 1251,35,1,1
"La Cisterna, Carlos condell / patricio lynch",480000,50000,La Cisterna,Carlos condell / patricio lynch,53,2,1
"Recoleta, Departamento Metro Patronato (121582)",450000,100000,Recoleta,Departamento Metro Patronato (121582),55,3,1
"Providencia, 2 Dormitorios en Arriendo en Providencia",830000,200000,Providencia,2 Dormitorios en Arriendo en Providencia,75,2,2
"Santiago, Metro Ñuble - 1 Dormitorio en Arriendo",260000,35000,Santiago,Metro Ñuble - 1 Dormitorio en Arriendo,30,1,1
"La Cisterna, Dpto La cisterna + estacionamiento  (121488)",450000,100000,La Cisterna,Dpto La cisterna + estacionamiento  (121488),48,2,1
"Santiago, Esquina rozas",330000,90000,Santiago,Esquina rozas,39,2,1
"Santiago, Estudio, metro cumming (121474)",280000,60000,Santiago,"Estudio, metro cumming (121474)",28,1,1
"Santiago, Arriendo comodo y luminoso cerca de metro (90680)",250000,45000,Santiago,Arriendo comodo y luminoso cerca de metro (90680),38,2,1
"Santiago, Arriendo Depto Santiago 2D 2B 1E 1B Nuevo (121437)",540000,100000,Santiago,Arriendo Depto Santiago 2D 2B 1E 1B Nuevo (121437),51,2,2
"La Florida, Metro rojas magallanes",470000,100000,La Florida,Metro rojas magallanes,57,2,2
"Puente Alto, Arriendo Dpto 3d, 2b (38661)",550000,95000,Puente Alto,"Arriendo Dpto 3d, 2b (38661)",54,3,2
