Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Santiago, José Miguel Carrera 359",360000,90000,Santiago,José Miguel Carrera 359,28,1,1
"Santiago, Santo Domingo 2246",220000,80000,Santiago,Santo Domingo 2246,29,1,1
"Santiago, García Reyes 71",200000,60000,Santiago,García Reyes 71,27,1,1
"Santiago, Nueva San Martín",490000,120000,Santiago,Nueva San Martín,69,2,2
"Macul, Juan Mitjans",550000,96000,Macul,Juan Mitjans,54,2,2
"Santiago, Sazié 1738",360000,80000,Santiago,Sazié 1738,30,1,1
"Santiago, Argomedo 320",400000,60000,Santiago,Argomedo 320,40,1,1
"Huechuraba, Av. los Libertadores 6170",580000,75000,Huechuraba,Av. los Libertadores 6170,41,2,1
"San Miguel, Centenario 890",355000,35000,San Miguel,Centenario 890,35,1,1
"Independencia, Hipódromo Chile 1876",530000,80000,Independencia,Hipódromo Chile 1876,65,2,2
"Huechuraba, Depto. Mariposa con Est y Bod, Guanaco Norte (127051)",720000,90000,Huechuraba,"Depto. Mariposa con Est y Bod, Guanaco Norte (127051)",60,2,2
"Providencia, Excelente Dpto en Providencia 1d/1b/1e/1b (126919)",950000,150000,Providencia,Excelente Dpto en Providencia 1d/1b/1e/1b (126919),54,1,1
"Santiago, Se arrienda departamento en santiago centro  (126933)",280000,60000,Santiago,Se arrienda departamento en santiago centro  (126933),30,1,1
"Santiago, Juan Mitjans 150-B, Macul, Región Metropolitana, Chil",340000,340000,Santiago,"Juan Mitjans 150-B, Macul, Región Metropolitana, Chil",41,1,1
"Maipú, Depto excelente ubicación, 3 meses renovable (126767)",500000,70000,Maipú,"Depto excelente ubicación, 3 meses renovable (126767)",43,2,1
"Santiago, Comodo departamento en muy buena ubicacion, Cercano a metros",260000,89000,Santiago,"Comodo departamento en muy buena ubicacion, Cercano a metros",38,1,1
"Macul, Estudio doble puerta sin cheque sin aval",300000,85000,Macul,Estudio doble puerta sin cheque sin aval,40,1,1
"La Cisterna, Depto",370000,90000,La Cisterna,Depto,57,2,1
"Santiago, cómodo departamento con excelente distribución metro Parque Almagro",400000,120000,Santiago,cómodo departamento con excelente distribución metro Parque Almagro,51,2,2
"Santiago, Arturo Prat",350000,40000,Santiago,Arturo Prat,40,1,1
"Ñuñoa, Metro Ñuble",580000,120000,Ñuñoa,Metro Ñuble,62,2,2
"La Florida, Comodo depto Metro Elisa Correa, La Florida",600000,120000,La Florida,"Comodo depto Metro Elisa Correa, La Florida",61,3,2
"Providencia, Metro manuel montt",830000,165000,Providencia,Metro manuel montt,62,2,2
"La Florida, Metro Vicuña Mackenna",440000,75000,La Florida,Metro Vicuña Mackenna,42,1,1
"Ñuñoa, Mall Plaza Egaña",540000,70000,Ñuñoa,Mall Plaza Egaña,45,1,1
"Estación Central, Metro san alberto hurtado - avenida ecuador 3688",340000,140000,Estación Central,Metro san alberto hurtado - avenida ecuador 3688,45,2,1
"Santiago, Sta. Elena 1760",370000,60000,Santiago,Sta. Elena 1760,45,2,1
"La Florida, Arriendo dpto  alto macul entrega inmediata (126972)",700000,95000,La Florida,Arriendo dpto  alto macul entrega inmediata (126972),65,2,2
"Ñuñoa, Departamento entrega segunda semana noviembre (126970)",900000,250000,Ñuñoa,Departamento entrega segunda semana noviembre (126970),82,3,2
"Ñuñoa, Dpto Nuevo en Arriendo 2D/2B Ñuñoa  (126730)",650000,80000,Ñuñoa,Dpto Nuevo en Arriendo 2D/2B Ñuñoa  (126730),50,2,2
"Quinta Normal, General Barbosa 1149",390000,55000,Quinta Normal,General Barbosa 1149,55,2,2
"Santiago, Departamento Mariposa Metro Ñuble 2d 2b 1e 1b (126898)",520000,90000,Santiago,Departamento Mariposa Metro Ñuble 2d 2b 1e 1b (126898),47,2,2
"Ñuñoa, José Pedro Alessandri",650000,120000,Ñuñoa,José Pedro Alessandri,65,2,1
"Ñuñoa, Augusto Villanueva",670000,80000,Ñuñoa,Augusto Villanueva,71,3,1
"La Florida, Hermoso departamento 3d+2b+e+b la florida (126995)",600000,89000,La Florida,Hermoso departamento 3d+2b+e+b la florida (126995),89,3,2
"La Cisterna, C. Dos 6546 (Calle Dos 6546)",300000,50000,La Cisterna,C. Dos 6546 (Calle Dos 6546),37,1,1
"Las Condes, Entre Isidora Goyenechea y Presidente Riesco",950000,130000,Las Condes,Entre Isidora Goyenechea y Presidente Riesco,100,3,2
"Providencia, Departamento- amplia terraza en Providencia (126981)",850000,110000,Providencia,Departamento- amplia terraza en Providencia (126981),37,1,1
"Macul, Cercano a calle Rodrigo de Araya",700000,130000,Macul,Cercano a calle Rodrigo de Araya,67,3,2
"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",340000,80000,Quinta Normal,Arriendo departamento 3 dormitorios (126945),55,3,1
"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",340000,65000,Ñuñoa,Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989),29,1,1
"Macul, Avda macul 3198 depto 906",360000,60000,Macul,Avda macul 3198 depto 906,52,1,1
"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",395000,75000,Santiago,Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.,43,1,2
"Las Condes, La Gioconda // Américo Vespucio Norte",2400,370000,Las Condes,La Gioconda // Américo Vespucio Norte,260,4,3
"Macul, Cercano a calle Rodrigo de Araya",700000,130000,Macul,Cercano a calle Rodrigo de Araya,67,3,2
"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",340000,80000,Quinta Normal,Arriendo departamento 3 dormitorios (126945),55,3,1
"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",340000,65000,Ñuñoa,Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989),29,1,1
"Macul, Avda macul 3198 depto 906",360000,60000,Macul,Avda macul 3198 depto 906,52,1,1
"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",395000,75000,Santiago,Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.,43,1,2
"Las Condes, La Gioconda // Américo Vespucio Norte",2400,370000,Las Condes,La Gioconda // Américo Vespucio Norte,260,4,3
