Nombre,Precio,Gastos_Comunes,Ubicacion,Metros,Habitaciones,Baños
"Santiago, Alamos 1830",$ 340.000,$ 40.000,"Santiago, Alamos 1830","26,1 m²",1,1
"Santiago, Diagonal Vicuña Mackenna",$ 420.000,$ 120.000,"Santiago, Diagonal Vicuña Mackenna",50 m²,2,1
"Las Condes, Las Clarisas _ Las Condes - Estadio Italiano",$ 750.000,$ 120.000,"Las Condes, Las Clarisas _ Las Condes - Estadio Italiano",50 m²,1,1
"San Miguel, Se arrienda departamento san miguel (123623)",$ 425.000,$ 90.000,"San Miguel, Se arrienda departamento san miguel (123623)",56 m²,2,1
"Santiago, Excelente ubicacion a pasos de Barrio Frankli (123601)",$ 330.000,$ 60.000,"Santiago, Excelente ubicacion a pasos de Barrio Frankli (123601)",30 m²,1,1
"Santiago, Cómod, céntrico y funcional (123547)",$ 300.000,$ 60.000,"Santiago, Cómod, céntrico y funcional (123547)",30 m²,1,1
"Providencia, Metro tobalaba",$ 2.100.000,$ 350.000,"Providencia, Metro tobalaba",185 m²,4,3
"La Florida, Vicuña Mackenna Poniente 6436",$ 370.000,$ 70.000,"La Florida, Vicuña Mackenna Poniente 6436",36 m²,1,1
"Ñuñoa, Arridendo departamento semi nuevo  2d/2b / e y b/metro ñuñoa",$ 770.000,$ 200.000,"Ñuñoa, Arridendo departamento semi nuevo  2d/2b / e y b/metro ñuñoa",60 m²,2,2
"Ñuñoa, Los 3 Antonio 55, ñuñoa",$ 800.000,$ 150.000,"Ñuñoa, Los 3 Antonio 55, ñuñoa",66 m²,2,2
"La Reina, Principe de Gales 5800","UF 26,00",$ 280.000,"La Reina, Principe de Gales 5800",85 m²,2,2
"Independencia, Disponibilidad inmediata",$ 350.000,$ 100.000,"Independencia, Disponibilidad inmediata",44 m²,2,1
"Santiago, Arriendo depto 1d 1b, santiago",$ 350.000,$ 56.000,"Santiago, Arriendo depto 1d 1b, santiago",25 m²,1,1
"Santiago, Amplio dp.2 d.Estac  amoblado metro toesca (123702)",$ 490.000,$ 120.000,"Santiago, Amplio dp.2 d.Estac  amoblado metro toesca (123702)",58 m²,2,1
"Independencia, Carrión",$ 430.000,$ 100.000,"Independencia, Carrión",55 m²,2,2
"Vitacura, Amplio Depto 2D3B / Serv. / 2Box - P. Arauco (123615)","UF 33,00",$ 300.000,"Vitacura, Amplio Depto 2D3B / Serv. / 2Box - P. Arauco (123615)",95 m²,2,3
"Ñuñoa, Luminoso Y Moderno Depto 1D1B - E. Nacional (123532)",$ 440.000,$ 90.000,"Ñuñoa, Luminoso Y Moderno Depto 1D1B - E. Nacional (123532)",43 m²,1,1
"La Reina, Mall plaza egaña",$ 1.100.000,$ 250.000,"La Reina, Mall plaza egaña",85 m²,3,2
"Las Condes, Parque arauco",$ 1.990.000,$ 300.000,"Las Condes, Parque arauco",165 m²,3,2
"Quilicura, Pedro riveros 1583",$ 350.000,$ 35.000,"Quilicura, Pedro riveros 1583",54 m²,3,1
"Ñuñoa, A 1 cuadra metro irarrazaval",$ 480.000,$ 45.000,"Ñuñoa, A 1 cuadra metro irarrazaval","36,95 m²",1,1
"Las Condes, El golf","UF 51,00",$ 500.000,"Las Condes, El golf",210 m²,5,5
"Ñuñoa, Zañartu /Til Til",$ 420.000,$ 80.000,"Ñuñoa, Zañartu /Til Til",43 m²,2,1
"Santiago, se arrienda depto 3D2B, bodega vicuña mackenn (123676)",$ 650.000,$ 100.000,"Santiago, se arrienda depto 3D2B, bodega vicuña mackenn (123676)",65 m²,3,2
"La Florida, Depto 2d 2b 1e 1b la florida (122565)",$ 520.000,$ 90.000,"La Florida, Depto 2d 2b 1e 1b la florida (122565)",50 m²,2,2
"Las Condes, Espectacular departamento amoblado (102272)",$ 2.400.000,$ 240.000,"Las Condes, Espectacular departamento amoblado (102272)",140 m²,4,2
"La Florida, La Concepción 7663",$ 370.000,$ 70.000,"La Florida, La Concepción 7663","44,6 m²",1,1
"Las Condes, Avenida Presidente Kennedy 7301",$ 1.800.000,$ 349.998,"Las Condes, Avenida Presidente Kennedy 7301",150 m²,4,4
"Estación Central, Av. Ecuador 4698",$ 295.000,$ 55.000,"Estación Central, Av. Ecuador 4698",39 m²,1,1
"La Florida, Santa Amalia 3544",$ 550.000,$ 70,"La Florida, Santa Amalia 3544",70 m²,3,2
"Estación Central, Nicasio retamales 54 // alameda",$ 200.000,$ 80.000,"Estación Central, Nicasio retamales 54 // alameda",38 m²,1,1
"Estación Central, Av. María Rozas Velásquez",$ 220.000,$ 60.000,"Estación Central, Av. María Rozas Velásquez",30 m²,1,1
"Ñuñoa, Avenida Rodrigo de Araya 1410",$ 430.000,$ 80.000,"Ñuñoa, Avenida Rodrigo de Araya 1410",40 m²,1,1
"Providencia, Los Conquistadores 1927",$ 950.000,$ 145.000,"Providencia, Los Conquistadores 1927",91 m²,3,3
"La Reina, Nuevo de alto estandar muy equipado 2 d al lado del Metro",$ 862.000,$ 300.000,"La Reina, Nuevo de alto estandar muy equipado 2 d al lado del Metro",90 m²,2,2
"La Reina, Nuevo de alto estandar muy equipado 1 d al lado del Metro",$ 700.000,$ 230.000,"La Reina, Nuevo de alto estandar muy equipado 1 d al lado del Metro",63 m²,1,1
"San Miguel, Hermosos departamentos en san miguel, lo vial (113430)",$ 460.000,$ 110.000,"San Miguel, Hermosos departamentos en san miguel, lo vial (113430)",52 m²,2,2
"Ñuñoa, ñuñoa zañartu dpto amoblado 1d1b (90463)",$ 420.000,$ 50.000,"Ñuñoa, ñuñoa zañartu dpto amoblado 1d1b (90463)",37 m²,1,1
"Santiago, Arriendo dpto 2d-1b eleuterio ramirez-centro (123380)",$ 420.000,$ 140.000,"Santiago, Arriendo dpto 2d-1b eleuterio ramirez-centro (123380)",57 m²,2,1
"Santiago, Arriendo dpto 1d-1b eleuterio ramirez-centro (123379)",$ 290.000,$ 70.000,"Santiago, Arriendo dpto 1d-1b eleuterio ramirez-centro (123379)",31 m²,1,1
"Independencia, Arriendo dpto. 2hab-1b-1bod. M. Hospitales (123408)",$ 400.000,$ 90.000,"Independencia, Arriendo dpto. 2hab-1b-1bod. M. Hospitales (123408)",59 m²,2,1
"Ñuñoa, Acogedor departamento en Ñuñoa para arriendo (123418)",$ 550.000,$ 90.000,"Ñuñoa, Acogedor departamento en Ñuñoa para arriendo (123418)",32 m²,1,1
"Ñuñoa, Metro Ñuñoa 2d 2b","UF 22,00",$ 170.000,"Ñuñoa, Metro Ñuñoa 2d 2b",78 m²,2,2
"Providencia, 2 estacionamientos, gran terraza, despejada (123364)",$ 1.000.000,$ 220.000,"Providencia, 2 estacionamientos, gran terraza, despejada (123364)",80 m²,3,2
"Independencia, Metro plaza chacabuco",$ 230.000,$ 70.000,"Independencia, Metro plaza chacabuco",27 m²,1,1
"Ñuñoa, Nelson 2040",$ 430.000,$ 80.000,"Ñuñoa, Nelson 2040",40 m²,1,1
"Santiago, Cómodo y funcional (123411)",$ 360.000,$ 90.000,"Santiago, Cómodo y funcional (123411)",50 m²,2,1
"Independencia, Arriendo  Estudio nuevo Vivaceta 1702 (123362)",$ 230.000,$ 30.000,"Independencia, Arriendo  Estudio nuevo Vivaceta 1702 (123362)",22 m²,1,1
"Estación Central, Se arrienda Depto en Estacion Central  (123374)",$ 440.000,$ 60.000,"Estación Central, Se arrienda Depto en Estacion Central  (123374)",55 m²,3,1
"Macul, Metro Macul 2Dorm 2Baños 1E 1B (123429)",$ 520.000,$ 120.000,"Macul, Metro Macul 2Dorm 2Baños 1E 1B (123429)",60 m²,2,2
"Lo Barnechea, Farellones - Dpto en La Parva  (123449)",$ 650.000,$ 1,"Lo Barnechea, Farellones - Dpto en La Parva  (123449)",60 m²,4,4
"Las Condes, El golf remodelado - amoblado (123444)","UF 78,00",$ 200.000,"Las Condes, El golf remodelado - amoblado (123444)",126 m²,2,3
"Santiago, Vergara 661",$ 315.000,$ 67.000,"Santiago, Vergara 661",32 m²,1,1
"Macul, Avenida Escuela Agrícola",$ 425.000,$ 120.000,"Macul, Avenida Escuela Agrícola",56 m²,2,1
"Santiago, Avenida  Brasil / Metro Santa Ana",$ 540.000,$ 72.000,"Santiago, Avenida  Brasil / Metro Santa Ana",45 m²,2,1
"Maipú, Metro Monte Tabor /C. Flor del Notro","UF 3.700,00",$ 100.000,"Maipú, Metro Monte Tabor /C. Flor del Notro",67 m²,2,2
"Macul, Av. Macul 3500/ Metro Quilin",$ 690.000,$ 140.000,"Macul, Av. Macul 3500/ Metro Quilin",86 m²,3,2
"Santiago, Calle Monjitas 744, 8320000 Santiago, Región Metropolitana de Santiago, Chile",$ 380.000,$ 100.000,"Santiago, Calle Monjitas 744, 8320000 Santiago, Región Metropolitana de Santiago, Chile",45 m²,3,2
"Quinta Normal, Cruchaga Montt  760",$ 160.000,$ 55.000,"Quinta Normal, Cruchaga Montt  760",50 m²,3,1
"Lo Prado, Neptuno & Los Copihues",$ 330.000,$ 5.000,"Lo Prado, Neptuno & Los Copihues",55 m²,2,1
"Las Condes, Homs 6920","UF 18,00",$ 100.000,"Las Condes, Homs 6920",40 m²,1,1
"Independencia, Av. Fermín Vivaceta / Frente Hipodromo",$ 410.000,$ 85.000,"Independencia, Av. Fermín Vivaceta / Frente Hipodromo",48 m²,2,1
"Las Condes, Amplio dpto 192m2 con 2 estacionamientos (123341)",$ 1.799.990,$ 420.000,"Las Condes, Amplio dpto 192m2 con 2 estacionamientos (123341)",192 m²,2,3
"Ñuñoa, Esquina Exequiel Fernandez",$ 630.000,$ 160.000,"Ñuñoa, Esquina Exequiel Fernandez",62 m²,2,2
"Estación Central, Metro ecuador Departamento en arriendo (123333)",$ 260.000,$ 80.000,"Estación Central, Metro ecuador Departamento en arriendo (123333)",34 m²,1,1
"Santiago, Departamento en arriendo Estilo Mariposa (123311)",$ 450.000,$ 110.000,"Santiago, Departamento en arriendo Estilo Mariposa (123311)",65 m²,2,2
"Estación Central, Metro San alberto Hurtado",$ 290.000,$ 75.000,"Estación Central, Metro San alberto Hurtado",42 m²,1,1
"Santiago, Arriendo dpto 2d2b+bod , barrio universitario republica , av españa 201, santiago centro",$ 400.000,$ 150.000,"Santiago, Arriendo dpto 2d2b+bod , barrio universitario republica , av españa 201, santiago centro",62 m²,2,2
"Las Condes, Metro escuela militar","UF 48,00",$ 230.000,"Las Condes, Metro escuela militar",170 m²,4,3
"Santiago, Metro-Morande depto semi-amoblado 2D/2B BOD  (114506)",$ 390.000,$ 85.000,"Santiago, Metro-Morande depto semi-amoblado 2D/2B BOD  (114506)",45 m²,2,2
"Estación Central, Depto 2D+1B, Afuerda de metro Ecuador (118708)",$ 340.000,$ 65.000,"Estación Central, Depto 2D+1B, Afuerda de metro Ecuador (118708)",48 m²,2,1
"Cerrillos, Avenida Buzeta 4220",$ 300.000,$ 70.000,"Cerrillos, Avenida Buzeta 4220","38,5 m²",1,1
"La Florida, Arriendo departamento amoblado! al lado metro mirador",$ 450.000,$ 60.000,"La Florida, Arriendo departamento amoblado! al lado metro mirador",37 m²,1,1
"Estación Central, Coronel Godoy 0157",$ 400.000,$ 90.000,"Estación Central, Coronel Godoy 0157",52 m²,2,2
"Macul, Av. Departamental 3516",$ 380.000,$ 60.000,"Macul, Av. Departamental 3516",40 m²,1,1
"Santiago, Vicuña Mackenna/Ñuble 1D+1B (118123)",$ 290.000,$ 80.000,"Santiago, Vicuña Mackenna/Ñuble 1D+1B (118123)",45 m²,1,1
"La Cisterna, Sergio Ceppi",$ 300.000,$ 45.000,"La Cisterna, Sergio Ceppi",35 m²,1,1
"Ñuñoa, Manuel Montt 2587",$ 680.000,$ 130,"Ñuñoa, Manuel Montt 2587",63 m²,2,2
"Las Condes, Rotonda Atenas",$ 2.150.000,$ 250.000,"Las Condes, Rotonda Atenas",180 m²,4,4
"Ñuñoa, Arriendo departamento (123198)",$ 640.000,$ 120.000,"Ñuñoa, Arriendo departamento (123198)",55 m²,2,2
"Santiago, Depto en la Florida 1D 1B pegado al metro (123186)",$ 370.000,$ 80.000,"Santiago, Depto en la Florida 1D 1B pegado al metro (123186)",37 m²,1,1
"Providencia, 3d 3b departamento en providencia",$ 1.300.000,$ 220.000,"Providencia, 3d 3b departamento en providencia",120 m²,3,3
"Macul, Dpto 1d 1b estacionamiento y bodega",$ 450.000,$ 80.000,"Macul, Dpto 1d 1b estacionamiento y bodega",42 m²,1,1
"Santiago, Metro santa isabel, amoblado gastos incluidos",$ 370.000,$ 20.000,"Santiago, Metro santa isabel, amoblado gastos incluidos",33 m²,1,1
"Macul, Departamento home studio amplio macul vista despejada",$ 400.000,$ 70.000,"Macul, Departamento home studio amplio macul vista despejada",35 m²,1,1
"Providencia, Llewellyn Jones / Eliodoro Yáñez / Los Leones",$ 750.000,$ 170.000,"Providencia, Llewellyn Jones / Eliodoro Yáñez / Los Leones",72 m²,2,2
"Ñuñoa, San  jorge",$ 650.000,$ 130.000,"Ñuñoa, San  jorge",65 m²,2,2
"Providencia, suecia",$ 650.000,$ 125.000,"Providencia, suecia",60 m²,1,1
"Santiago, Carmen / marin",$ 470.000,$ 100.000,"Santiago, Carmen / marin",60 m²,2,2
"Santiago, Depto. De 1d+1b+terraza. A 3 cuadras del metro santa isabel",$ 280.000,$ 90.000,"Santiago, Depto. De 1d+1b+terraza. A 3 cuadras del metro santa isabel",34 m²,1,1
"San Miguel, Primera Avenida",$ 450.000,$ 55.000,"San Miguel, Primera Avenida",0 m²,3,2
"Recoleta, Depto c/patio y estac/Excelente estado 3D1B E (122972)",$ 430.000,$ 1.000,"Recoleta, Depto c/patio y estac/Excelente estado 3D1B E (122972)",55 m²,3,1
"Santiago, Catedral 1310",$ 335.000,$ 650.000,"Santiago, Catedral 1310",42 m²,1,1
"Macul, Macul / quilin",$ 580.000,$ 120.000,"Macul, Macul / quilin",69 m²,2,2
"Ñuñoa, Metro Ñuñoa, Impecable !! (123154)","UF 15,00",$ 90.000,"Ñuñoa, Metro Ñuñoa, Impecable !! (123154)",36 m²,1,1
"Las Condes, Parque Arauco - Parque Araucano - Kennedy",$ 1.450.000,$ 230.000,"Las Condes, Parque Arauco - Parque Araucano - Kennedy",155 m²,4,4
"Ñuñoa, Vicuña Mackena / Irarrazaval",$ 390.000,$ 50.000,"Ñuñoa, Vicuña Mackena / Irarrazaval",40 m²,1,1
"La Florida, Arriendo Metro Quillayes , La Florida 1D-1B (123132)",$ 340.000,$ 75.000,"La Florida, Arriendo Metro Quillayes , La Florida 1D-1B (123132)",37 m²,1,1
"La Florida, Departamento en arriendo 2D+2B+E+B (123072)",$ 450.000,$ 100.000,"La Florida, Departamento en arriendo 2D+2B+E+B (123072)",60 m²,2,1
"Santiago, Metro santa ana - manuel rodríguez - santiago centro",$ 340.000,$ 70.000,"Santiago, Metro santa ana - manuel rodríguez - santiago centro",34 m²,1,1
"Cerrillos, Metro cerrillos - parque bicentenario",$ 310.000,$ 40.000,"Cerrillos, Metro cerrillos - parque bicentenario",34 m²,1,1
"Santiago, Amunategui - rosas","UF 12,40",$ 100.000,"Santiago, Amunategui - rosas",66 m²,2,2
"Santiago, Parque de los reyes",$ 340.000,$ 95.000,"Santiago, Parque de los reyes",45 m²,2,2
"Quinta Normal, Gruta de lourdes - metro quinta normal",$ 450.000,$ 90.000,"Quinta Normal, Gruta de lourdes - metro quinta normal",62 m²,3,2
"Las Condes, Espectacular Loft. Amplia terraza en azotea. Charles Hamilton/Camino La fuente","UF 50,00",$ 1.100.000,"Las Condes, Espectacular Loft. Amplia terraza en azotea. Charles Hamilton/Camino La fuente",206 m²,1,1
"Santiago, Santa Rosa con Santa Isabel, Santiago",$ 330.000,$ 120.000,"Santiago, Santa Rosa con Santa Isabel, Santiago",38 m²,1,1
"San Bernardo, Parque Garcia de la Huerta - Juzgados",$ 350.000,$ 48.000,"San Bernardo, Parque Garcia de la Huerta - Juzgados",33 m²,1,1
"Santiago, Sta. Elena 898",$ 540.000,$ 70.000,"Santiago, Sta. Elena 898",52 m²,2,1
"Santiago, San diego 161, 1304",$ 560.000,$ 80.000,"Santiago, San diego 161, 1304",85 m²,2,2
"Las Condes, El Trovador 4315",$ 610.000,$ 120.000,"Las Condes, El Trovador 4315",35 m²,1,1
"Santiago, Calle Padre Orellana 1656, a tres cuadras del metro Ñuble. comuna de Santiago",$ 390.000,$ 70.000,"Santiago, Calle Padre Orellana 1656, a tres cuadras del metro Ñuble. comuna de Santiago",45 m²,2,1
"San Miguel, Florencia - Metro San Miguel",$ 630.000,$ 130.000,"San Miguel, Florencia - Metro San Miguel",63 m²,2,2
"Independencia, Leonor Cepeda 952",$ 310.000,$ 60.000,"Independencia, Leonor Cepeda 952",40 m²,2,1
"Quinta Normal, Carrascal 6254",$ 350.000,$ 25.000,"Quinta Normal, Carrascal 6254",45 m²,2,2
"Estación Central, Ecuador 4707 esquina benedicto xv - metro ecuador 2 dorm 2 b",$ 300.000,$ 50.000,"Estación Central, Ecuador 4707 esquina benedicto xv - metro ecuador 2 dorm 2 b",40 m²,2,2
"Santiago, Arriendo de 1 dorm. 1 baño, santiago",$ 210.000,$ 50.000,"Santiago, Arriendo de 1 dorm. 1 baño, santiago",32 m²,1,1
"Ñuñoa, Irarrazaval esquina hamburgo, ñuñoa",$ 580.000,$ 90.000,"Ñuñoa, Irarrazaval esquina hamburgo, ñuñoa",53 m²,2,2
"Ñuñoa, Departamento en arriendo de 2 dorm. 1 baño + bodega, ñuñoa",$ 580.000,$ 90.000,"Ñuñoa, Departamento en arriendo de 2 dorm. 1 baño + bodega, ñuñoa",53 m²,2,2
"Estación Central, Las rejas 65, 1 dormitorio 1 baño, estacion central",$ 200.000,$ 35.000,"Estación Central, Las rejas 65, 1 dormitorio 1 baño, estacion central",30 m²,1,1
"Santiago, Metro Parque Bustamante - 2 dormitorios, 1 baño y bodega",$ 420.000,$ 70.000,"Santiago, Metro Parque Bustamante - 2 dormitorios, 1 baño y bodega",50 m²,2,1
"San Bernardo, Almirante riveros  1190",$ 450.000,$ 1,"San Bernardo, Almirante riveros  1190",52 m²,3,1
"Santiago, Departamento Piso9, 2D+1B, Santiago (122947)",$ 400.000,$ 72.000,"Santiago, Departamento Piso9, 2D+1B, Santiago (122947)",36 m²,2,1
"Santiago, Metro Parque Almagro (122948)",$ 300.000,$ 60.000,"Santiago, Metro Parque Almagro (122948)",37 m²,1,1
"Independencia, General Saavedra",$ 540.000,$ 80.000,"Independencia, General Saavedra",75 m²,3,2
"Santiago, Metro santa ana",$ 280.000,$ 70.000,"Santiago, Metro santa ana",32 m²,1,1
"Santiago, Arriendo departamento 1 dormitorio , santiago centro",$ 330.000,$ 55.000,"Santiago, Arriendo departamento 1 dormitorio , santiago centro",34 m²,1,1
"Santiago, Departamento en Blanco Encalada, Club Hipico  (122853)",$ 350.000,$ 90.000,"Santiago, Departamento en Blanco Encalada, Club Hipico  (122853)",35 m²,1,1
"Quinta Normal, Departamento con excelente vista (122950)",$ 330.000,$ 45.000,"Quinta Normal, Departamento con excelente vista (122950)",32 m²,1,1
"San Miguel, San nicolas lado oriente",$ 430.000,$ 90.000,"San Miguel, San nicolas lado oriente",53 m²,2,2
"Santiago, José Miguel Carrera 120",$ 460.000,$ 90.000,"Santiago, José Miguel Carrera 120",46 m²,2,2
"Santiago, En arriendo depto. Nuevo a estrenar 2d+1b barrio brasil",$ 450.000,$ 60.000,"Santiago, En arriendo depto. Nuevo a estrenar 2d+1b barrio brasil",46 m²,2,1
"Ñuñoa, Irarrazabal 5320",$ 530.000,$ 80.000,"Ñuñoa, Irarrazabal 5320",35 m²,1,1
"Santiago, Calle santa rosa con eyzaguirre",$ 350.000,$ 90.000,"Santiago, Calle santa rosa con eyzaguirre",42 m²,1,1
"Estación Central, Cercano a metro ecuador",$ 260.000,$ 50.000,"Estación Central, Cercano a metro ecuador",30 m²,1,1
"Santiago, Arriendo depto 2 Amplios Dormitorios   (123027)",$ 340.000,$ 100.000,"Santiago, Arriendo depto 2 Amplios Dormitorios   (123027)",43 m²,2,1
"Santiago, Santa isabel con dieciocho",$ 350.000,$ 90.000,"Santiago, Santa isabel con dieciocho",45 m²,1,1
"Renca, General freire 5148, renca",$ 380.000,$ 45.000,"Renca, General freire 5148, renca",70 m²,3,1
"Santiago, San isidro 234, santiago",$ 330.000,$ 90.000,"Santiago, San isidro 234, santiago",50 m²,2,1
"Santiago, Vicuña mackenna 2004, santiago",$ 400.000,$ 100.000,"Santiago, Vicuña mackenna 2004, santiago",40 m²,2,1
"Ñuñoa, Entre hamburgo y bremen",$ 550.000,$ 95.000,"Ñuñoa, Entre hamburgo y bremen",50 m²,1,1
"Ñuñoa, Entre bremen y hamburgo",$ 550.000,$ 95.000,"Ñuñoa, Entre bremen y hamburgo",50 m²,1,1
"San Miguel, Avenida lo Ovalle 1385",$ 450.000,$ 70.000,"San Miguel, Avenida lo Ovalle 1385",0 m²,3,1
"Santiago, Cercano a todo (122713)",$ 330.000,$ 85.000,"Santiago, Cercano a todo (122713)",35 m²,2,1
"Renca, Dpto. 3D 2B - Estac. +Bdga. a pasos de Ruta 5 (123038)",$ 470.000,$ 70.000,"Renca, Dpto. 3D 2B - Estac. +Bdga. a pasos de Ruta 5 (123038)",46 m²,3,2
"Ñuñoa, MAP - Se Arrienda bello Dpto 1h,1b, estacionamiento. Mestro Ñuñoa",$ 580.000,$ 100.000,"Ñuñoa, MAP - Se Arrienda bello Dpto 1h,1b, estacionamiento. Mestro Ñuñoa",0 m²,1,1
"Estación Central, 1 dormitorio y 1 baño. Roller y luminarias. Bodega. Metro Ecuador",$ 245.000,$ 70.000,"Estación Central, 1 dormitorio y 1 baño. Roller y luminarias. Bodega. Metro Ecuador",37 m²,1,1
"Santiago, Arturo prat/victoria",$ 300.000,$ 65.000,"Santiago, Arturo prat/victoria",50 m²,2,1
"Macul, Los plátanos con exequiel fernández",$ 490.000,$ 45.000,"Macul, Los plátanos con exequiel fernández",37 m²,1,1
"Peñalolén, Juan de Dios Vial Correa, Peñalolén","UF 33,00",$ 280.000,"Peñalolén, Juan de Dios Vial Correa, Peñalolén",175 m²,3,3
"Providencia, Los leones / e. Yañez",$ 800.000,$ 170.000,"Providencia, Los leones / e. Yañez",67 m²,2,2
"La Florida, Metro Mirador","UF 9,00",$ 120.000,"La Florida, Metro Mirador",40 m²,1,1
"Santiago, Cercano a santa rosa con tarapacá",$ 285.000,$ 55.000,"Santiago, Cercano a santa rosa con tarapacá",31 m²,1,1
"Providencia, Cirujano guzmán",$ 750.000,$ 230.000,"Providencia, Cirujano guzmán",75 m²,2,2
"Santiago, Santa elena 840",$ 290.000,$ 70.000,"Santiago, Santa elena 840",35 m²,1,1
"Las Condes, Cantagallo",$ 830.000,$ 150.000,"Las Condes, Cantagallo",43 m²,1,1
"Independencia, Nueva andres bello / fernando vivacetaa",$ 285.000,$ 50.000,"Independencia, Nueva andres bello / fernando vivacetaa",30 m²,1,1
"San Miguel, Fernando lazcano / ricardo morales","UF 10,50",$ 50.000,"San Miguel, Fernando lazcano / ricardo morales",33 m²,1,1
"La Florida, Jose miguel carrera con av vicuña mackena",$ 445.000,$ 58.000,"La Florida, Jose miguel carrera con av vicuña mackena",3 m²,3,1
"Santiago, Hermoso departamento a pasos del metro bellas artes",$ 340.000,$ 50.000,"Santiago, Hermoso departamento a pasos del metro bellas artes",55 m²,1,1
"Macul, Macul con Rodrigo de Araya",$ 400.000,$ 95.000,"Macul, Macul con Rodrigo de Araya",45 m²,2,1
"Providencia, Orrego Luco/Nva. Providencia",$ 440.000,$ 60.000,"Providencia, Orrego Luco/Nva. Providencia",26 m²,1,1
"Vitacura, Parque bicentenario",$ 1.950.000,$ 250.000,"Vitacura, Parque bicentenario",90 m²,2,2
"Ñuñoa, Amplio y Luminoso , Matta Oriente/Irarrazaval (122935)",$ 700.000,$ 170.000,"Ñuñoa, Amplio y Luminoso , Matta Oriente/Irarrazaval (122935)",68 m²,2,2
"Estación Central, Toro mazote",$ 190.000,$ 60.000,"Estación Central, Toro mazote",25 m²,1,1
"Estación Central, Arriendo depto 2d 1b, matucana, santiago",$ 450.000,$ 70.000,"Estación Central, Arriendo depto 2d 1b, matucana, santiago",53 m²,2,1
"La Florida, La Florida (123018)",$ 490.000,$ 90.000,"La Florida, La Florida (123018)",60 m²,3,2
"San Miguel, Teresa vial / san ignacio",$ 550.000,$ 90.000,"San Miguel, Teresa vial / san ignacio",65 m²,2,2
"Ñuñoa, Capitan Orella con Pedro de Valdivia","UF 14,00",$ 90.000,"Ñuñoa, Capitan Orella con Pedro de Valdivia","35,6 m²",1,1
"La Florida, Metro san jose de la estrella",$ 500.000,$ 100.000,"La Florida, Metro san jose de la estrella",70 m²,3,2
"Ñuñoa, Los leones con sucre",$ 800.000,$ 130.000,"Ñuñoa, Los leones con sucre",78 m²,3,2
"Las Condes, San pascual con neveria",$ 630.000,$ 70.000,"Las Condes, San pascual con neveria",39 m²,1,1
"Santiago, Dptoarriendo piso7 P Ohiggins vista despejada (122987)",$ 390.000,$ 60.000,"Santiago, Dptoarriendo piso7 P Ohiggins vista despejada (122987)",46 m²,2,1
"Ñuñoa, Manuel Montt/Irarrazaval",$ 700.000,$ 90.000,"Ñuñoa, Manuel Montt/Irarrazaval","49,5 m²",2,1
"Santiago, Depto 1D1B Metro Santa Isabel (122985)","UF 8,70",$ 88.000,"Santiago, Depto 1D1B Metro Santa Isabel (122985)",27 m²,1,1
"Macul, Depto Nuevo 2D2B + Est y Bodega - Macul (122955)",$ 530.000,$ 125.000,"Macul, Depto Nuevo 2D2B + Est y Bodega - Macul (122955)",52 m²,2,2
"Santiago, Amunátegui esq. Rosas - metro santa ana","UF 10,90",$ 110.000,"Santiago, Amunátegui esq. Rosas - metro santa ana",66 m²,2,2
"Ñuñoa, Metro príncipe de gales",$ 590.000,$ 100.000,"Ñuñoa, Metro príncipe de gales",50 m²,1,1
"Ñuñoa, Estadio nacional",$ 640.000,$ 100.000,"Ñuñoa, Estadio nacional",64 m²,2,2
"La Cisterna, Hermoso Departamento En Arriendo La Cisterna (122920)",$ 350.000,$ 80.000,"La Cisterna, Hermoso Departamento En Arriendo La Cisterna (122920)",46 m²,2,1
"Las Condes, Las Condes/ Apoquindo","UF 31,00",$ 210.000,"Las Condes, Las Condes/ Apoquindo",99 m²,2,2
"Ñuñoa, Irarrázaval","UF 13,00",$ 80.000,"Ñuñoa, Irarrázaval","45,82 m²",1,1
"Ñuñoa, Heriberto Covarrubias",$ 670.000,$ 150.000,"Ñuñoa, Heriberto Covarrubias",70 m²,2,2
"Ñuñoa, Casi esquina mujica, sector barrio italia.",$ 450.000,$ 95.000,"Ñuñoa, Casi esquina mujica, sector barrio italia.",34 m²,1,1
"Santiago, General bulnes entre rosas y san pablo",$ 265.000,$ 65.000,"Santiago, General bulnes entre rosas y san pablo",37 m²,1,1
"Santiago, San antonio 378",$ 500.000,$ 92.074,"Santiago, San antonio 378",90 m²,3,2
"Santiago, Franklin/Santa Elena",$ 495.000,$ 120.000,"Santiago, Franklin/Santa Elena",52 m²,2,2
"Santiago, Lord cochrane 298",$ 275.000,$ 75.000,"Santiago, Lord cochrane 298",36 m²,1,1
"Estación Central, La mejor opcion de arriendo en estacion central",$ 300.000,$ 40.000,"Estación Central, La mejor opcion de arriendo en estacion central",48 m²,3,1
"Las Condes, El golf","UF 29,00",$ 140.000,"Las Condes, El golf",91 m²,2,2
"Santiago, General Jofré 100 - 200",$ 600.000,$ 110.000,"Santiago, General Jofré 100 - 200",60 m²,3,2
"Santiago, Se arrienda acogedor departamento en santiago",$ 380.000,$ 90.000,"Santiago, Se arrienda acogedor departamento en santiago",41 m²,2,1
"Las Condes, Amplio departamento a pasos del metro Manquehue",$ 990.000,$ 100.000,"Las Condes, Amplio departamento a pasos del metro Manquehue",80 m²,2,2
